Date,Category,Note,Amount,Income/Expense,Amount.1
2021-12-03,Food,Snack,40.0,Expense,40.0
2021-12-03,Allowance,From dad,1000.0,Income,1000.0
2021-12-02,Food,Ice cream,504.0,Expense,504.0
2021-12-02,Food,Vadapaav,75.0,Expense,75.0
2021-12-01,Beauty,Showergel,196.0,Expense,196.0
2021-12-01,Food,Lunch with company,160.0,Expense,160.0
2021-11-30,Gift,Bharath birthday,115.0,Expense,115.0
2021-11-30,Food,Lunch with company,128.0,Expense,128.0
2021-11-30,Food,Breakfast,70.0,Expense,70.0
2021-11-29,Food,Lunch with company,40.0,Expense,40.0
2021-11-29,Food,Dinner,50.0,Expense,50.0
2021-11-29,Food,Panipoori,40.0,Expense,40.0
2021-11-29,Food,Breakfast,40.0,Expense,40.0
2021-11-28,Food,Snack,94.0,Expense,94.0
2021-11-28,Food,Zomato,269.4,Expense,269.4
2021-11-27,Food,Dinner with gowdham,120.0,Expense,120.0
2021-11-27,Food,Dinner with gowdham,130.0,Expense,130.0
2021-11-27,Transportation,Rapido,35.0,Expense,35.0
2021-11-27,Food,Lunch with company,75.0,Expense,75.0
2021-11-27,Allowance,From dad,2000.0,Income,2000.0
2021-11-27,Food,Breakfast,30.0,Expense,30.0
2021-11-26,Food,Beer,150.0,Expense,150.0
2021-11-26,Food,Snack,102.0,Expense,102.0
2021-11-26,Food,Panipoori,40.0,Expense,40.0
2021-11-26,Petty cash,Cashback,3.0,Income,3.0
2021-11-26,Food,Lunch with company,150.0,Expense,150.0
2021-11-26,Food,Breakfast,60.0,Expense,60.0
2021-11-25,Food,Lunch with company,145.0,Expense,145.0
2021-11-25,Transportation,Rapido,58.0,Expense,58.0
2021-11-25,Food,Dinner,95.0,Expense,95.0
2021-11-24,Food,Snack,15.0,Expense,15.0
2021-11-24,Food,Dinner,70.0,Expense,70.0
2021-11-24,Food,Panipoori,20.0,Expense,20.0
2021-11-24,Transportation,Rapido,58.0,Expense,58.0
2021-11-23,Transportation,Rapido,50.0,Expense,50.0
2021-11-23,Food,Dinner,179.0,Expense,179.0
2021-11-22,Food,Dinner,90.0,Expense,90.0
2021-11-22,Food,Lunch with company,97.0,Expense,97.0
2021-11-21,Transportation,Rapido,130.0,Expense,130.0
2021-11-21,Food,Lunch,875.0,Expense,875.0
2021-11-21,Other,Got from gobi,2000.0,Income,2000.0
