Date,Account,Category,Note,Income/Expense,Amount
2021-11-25,CUB - online payment,Transportation,Rapido,Expense,58.0
2021-11-25,CUB - online payment,Food,Dinner,Expense,95.0
2021-11-24,CUB - online payment,Food,Snack,Expense,15.0
2021-11-24,CUB - online payment,Food,Dinner,Expense,70.0
2021-11-24,CUB - online payment,Food,Panipoori,Expense,20.0
2021-11-24,CUB - online payment,Transportation,Rapido,Expense,58.0
2021-11-23,CUB - online payment,Transportation,Rapido,Expense,50.0
2021-11-23,CUB - online payment,Food,Dinner,Expense,179.0
2021-11-22,CUB - online payment,Food,Dinner,Expense,90.0
2021-11-22,CUB - online payment,Food,Lunch with company,Expense,97.0
2021-11-21,CUB - online payment,Transportation,Rapido,Expense,130.0
2021-11-21,CUB - online payment,Food,Lunch,Expense,875.0
2021-11-21,CUB - online payment,Other,Got from gobi,Income,2000.0
